# Generated with dmote-topography, version 0.3.0. Arguments:
# --x-mu 10 --x-sigma 35 --y-mu 90 --y-sigma 45 --hardness 0.5 --lift 0.2
  0.00  15.31  19.32  21.74  23.47  24.79  25.85  26.73  27.47  28.11  28.66  29.13  29.54  29.89  30.20  30.46  30.68  30.86  31.01  31.12  31.21  31.26  31.29  31.30  31.28  31.24  31.18  31.09  30.99  30.87  30.73  30.58  30.41  30.23  30.03  29.82  29.60  29.37  29.13  28.88  28.63  28.36  28.09  27.81  27.53  27.24  26.95  26.65  26.36  26.06  25.76  25.45  25.15  24.85  24.55  24.25  23.95  23.65  23.36  23.06  22.77  22.48  22.20  21.92  21.64  21.36  21.09  20.82  20.56  20.29  20.03  19.78  19.52  19.27  19.02  18.78  18.53  18.28  18.04  17.79  17.55  17.30  17.04  16.79  16.52  16.25  15.97  15.68  15.37  15.04  14.69  14.30  13.87  13.37  12.80  12.10  11.20   9.95   7.88   0.00
  0.00  15.88  20.04  22.56  24.35  25.72  26.82  27.74  28.51  29.17  29.74  30.23  30.65  31.02  31.33  31.60  31.83  32.02  32.17  32.28  32.37  32.43  32.45  32.46  32.43  32.39  32.32  32.23  32.12  31.99  31.84  31.68  31.50  31.30  31.09  30.87  30.64  30.39  30.14  29.87  29.60  29.32  29.03  28.73  28.43  28.13  27.82  27.51  27.20  26.88  26.56  26.24  25.92  25.60  25.28  24.97  24.65  24.34  24.03  23.72  23.41  23.11  22.81  22.51  22.22  21.93  21.64  21.36  21.08  20.80  20.53  20.26  19.99  19.73  19.47  19.21  18.95  18.70  18.44  18.19  17.93  17.67  17.41  17.14  16.87  16.59  16.30  16.00  15.68  15.34  14.98  14.58  14.13  13.63  13.04  12.32  11.41  10.13   8.03   0.00
  0.00  16.44  20.75  23.36  25.21  26.64  27.78  28.73  29.53  30.21  30.80  31.31  31.75  32.13  32.45  32.73  32.96  33.15  33.31  33.43  33.51  33.57  33.60  33.60  33.57  33.52  33.44  33.34  33.22  33.08  32.93  32.75  32.56  32.35  32.13  31.90  31.65  31.39  31.12  30.84  30.55  30.25  29.95  29.64  29.32  29.00  28.67  28.34  28.01  27.68  27.34  27.00  26.67  26.33  26.00  25.66  25.33  25.00  24.67  24.34  24.02  23.70  23.39  23.08  22.77  22.46  22.16  21.87  21.57  21.28  21.00  20.72  20.44  20.16  19.89  19.62  19.35  19.09  18.82  18.55  18.29  18.02  17.75  17.47  17.19  16.90  16.60  16.29  15.96  15.61  15.24  14.83  14.38  13.86  13.26  12.53  11.60  10.30   8.16   0.00
  0.00  17.00  21.46  24.16  26.07  27.55  28.73  29.71  30.54  31.24  31.85  32.38  32.83  33.22  33.56  33.84  34.08  34.28  34.44  34.56  34.65  34.70  34.73  34.72  34.69  34.63  34.55  34.44  34.32  34.17  34.00  33.81  33.61  33.39  33.16  32.91  32.64  32.37  32.08  31.79  31.48  31.17  30.85  30.52  30.19  29.85  29.50  29.16  28.81  28.45  28.10  27.75  27.39  27.04  26.69  26.34  25.99  25.64  25.29  24.95  24.61  24.28  23.95  23.62  23.30  22.98  22.66  22.35  22.05  21.74  21.45  21.15  20.86  20.57  20.29  20.01  19.73  19.45  19.17  18.90  18.62  18.34  18.06  17.78  17.49  17.19  16.88  16.56  16.23  15.87  15.49  15.07  14.61  14.08  13.47  12.72  11.78  10.45   8.28   0.00
  0.00  17.55  22.16  24.95  26.93  28.45  29.67  30.69  31.54  32.27  32.90  33.44  33.91  34.31  34.66  34.95  35.20  35.40  35.56  35.69  35.77  35.83  35.85  35.84  35.80  35.74  35.65  35.54  35.40  35.24  35.06  34.87  34.65  34.42  34.17  33.91  33.63  33.34  33.04  32.73  32.41  32.07  31.74  31.39  31.04  30.68  30.32  29.96  29.59  29.22  28.85  28.48  28.11  27.73  27.36  27.00  26.63  26.26  25.90  25.54  25.19  24.84  24.49  24.15  23.81  23.48  23.15  22.82  22.50  22.19  21.88  21.57  21.27  20.97  20.67  20.38  20.09  19.80  19.51  19.23  18.94  18.65  18.36  18.07  17.77  17.46  17.15  16.82  16.47  16.11  15.72  15.29  14.82  14.28  13.66  12.90  11.94  10.60   8.40   0.00
  0.00  18.10  22.86  25.73  27.78  29.35  30.61  31.66  32.54  33.30  33.94  34.50  34.99  35.40  35.76  36.06  36.31  36.52  36.68  36.81  36.89  36.95  36.97  36.95  36.91  36.84  36.75  36.63  36.48  36.31  36.12  35.91  35.69  35.44  35.18  34.90  34.61  34.30  33.99  33.66  33.32  32.97  32.62  32.26  31.89  31.51  31.13  30.75  30.36  29.98  29.59  29.20  28.81  28.42  28.03  27.64  27.26  26.88  26.50  26.12  25.75  25.39  25.02  24.67  24.31  23.96  23.62  23.28  22.95  22.62  22.29  21.97  21.66  21.35  21.04  20.73  20.43  20.13  19.84  19.54  19.24  18.95  18.65  18.34  18.04  17.72  17.40  17.06  16.71  16.33  15.93  15.50  15.01  14.47  13.83  13.07  12.09  10.73   8.50   0.00
  0.00  18.66  23.55  26.52  28.63  30.25  31.56  32.63  33.55  34.32  34.99  35.57  36.07  36.49  36.86  37.17  37.43  37.64  37.81  37.93  38.02  38.07  38.09  38.07  38.02  37.95  37.84  37.71  37.56  37.38  37.18  36.96  36.72  36.46  36.19  35.89  35.59  35.27  34.93  34.59  34.23  33.87  33.49  33.11  32.73  32.33  31.94  31.54  31.13  30.73  30.32  29.91  29.50  29.09  28.69  28.28  27.88  27.48  27.09  26.70  26.31  25.92  25.55  25.17  24.80  24.44  24.08  23.73  23.38  23.04  22.70  22.37  22.04  21.71  21.39  21.08  20.77  20.46  20.15  19.84  19.54  19.23  18.92  18.61  18.29  17.97  17.63  17.29  16.93  16.54  16.14  15.69  15.20  14.65  14.00  13.22  12.23  10.86   8.60   0.00
  0.00  19.21  24.26  27.31  29.49  31.16  32.50  33.61  34.55  35.35  36.04  36.63  37.15  37.59  37.96  38.28  38.54  38.76  38.93  39.06  39.14  39.19  39.21  39.19  39.14  39.05  38.94  38.80  38.64  38.45  38.24  38.01  37.76  37.48  37.19  36.89  36.56  36.23  35.88  35.52  35.14  34.76  34.37  33.97  33.57  33.15  32.74  32.32  31.90  31.47  31.04  30.62  30.19  29.77  29.34  28.92  28.50  28.08  27.67  27.26  26.85  26.45  26.06  25.67  25.28  24.91  24.53  24.16  23.80  23.45  23.09  22.75  22.41  22.07  21.74  21.41  21.09  20.77  20.45  20.13  19.82  19.50  19.18  18.86  18.53  18.20  17.86  17.51  17.14  16.75  16.33  15.88  15.38  14.81  14.16  13.37  12.37  10.97   8.69   0.00
  0.00  19.77  24.96  28.11  30.34  32.06  33.45  34.59  35.56  36.39  37.10  37.71  38.23  38.69  39.07  39.40  39.67  39.89  40.06  40.19  40.28  40.32  40.33  40.31  40.25  40.16  40.05  39.90  39.73  39.53  39.30  39.06  38.79  38.51  38.20  37.88  37.54  37.19  36.82  36.44  36.05  35.65  35.24  34.83  34.40  33.97  33.54  33.10  32.66  32.21  31.77  31.32  30.88  30.43  29.99  29.55  29.11  28.68  28.24  27.82  27.40  26.98  26.57  26.16  25.76  25.37  24.98  24.59  24.22  23.85  23.48  23.12  22.77  22.42  22.08  21.74  21.40  21.07  20.74  20.41  20.09  19.76  19.43  19.10  18.77  18.43  18.08  17.72  17.34  16.94  16.51  16.05  15.55  14.97  14.31  13.51  12.49  11.08   8.78   0.00
  0.00  20.33  25.67  28.91  31.21  32.98  34.40  35.58  36.58  37.43  38.16  38.78  39.33  39.79  40.19  40.52  40.80  41.02  41.20  41.33  41.41  41.46  41.47  41.44  41.38  41.28  41.15  41.00  40.82  40.61  40.37  40.11  39.83  39.53  39.21  38.88  38.52  38.15  37.77  37.37  36.97  36.55  36.12  35.68  35.24  34.79  34.34  33.88  33.42  32.96  32.49  32.03  31.56  31.10  30.64  30.18  29.72  29.27  28.82  28.37  27.93  27.50  27.07  26.65  26.23  25.82  25.42  25.02  24.63  24.24  23.86  23.49  23.12  22.76  22.41  22.06  21.71  21.37  21.03  20.69  20.35  20.02  19.68  19.34  19.00  18.65  18.29  17.92  17.53  17.12  16.69  16.22  15.71  15.12  14.45  13.64  12.61  11.19   8.86   0.00
